RRID	Resource Name	total mention count
11329	Jewish General Hospital; Quebec; Canada	1003
12650	Columbia Genome Center	1003
13745	WinMDI Software	1002
8454	Consumer Reports	999
3653	International Stem Cell Registry	998
72	Patchwork	997
11505	Ruhr University Bochum; North Rhine-Westphalia; Germany	997
12379	HB Custom Media	997
10740	Vaccine damage reports database	995
3666	Generalized Anxiety Disorder 7	993
814	NBDC - National Bioscience Database Center	991
6279	PatientCrossroads	991
7531	University of South Alabama Department of Cell Biology and Neuroscience	991
3042	Brain Pharmacological Database	990
4088	OnTarget Chemistry	990
686	H2SO4Hurts	989
13251	Antibody Links	989
13039	ABACUS	986
3510	CIL - Cell Image Library	985
12675	Bio Basic Inc	982
10279	Adobe Illustrator CC	980
4601	Neuroscience News: Neuroscience Jobs	978
12275	Applied Biosciences	978
3073	NIH Image	973
2905	British Heart Foundation	971
12407	Ohio Peptide	971
433	NINDS Disorder Index	969
4404	Neuroscience News: Neuroscience Lab Equipment	969
11123	Brookhaven National Laboratories; New York; USA	968
9074	CASPAR	965
3936	Eisai	962
8007	Gemma	961
1754	Dynamic Brain Platform	960
6093	ProQuest	960
7641	Epitome	959
8818	RUM	959
817	Longitudinal Employer-Household Dynamics	957
5392	Brown Brain Tissue Resource Center	957
948	Aarhus University; Aarhus; Denmark	956
11574	Texas Tech University; Texas; USA	953
6884	Integrated Service Technology	952
5707	Hunter College; New York; USA	951
808	Open Biosystems	947
8021	Cal-IT2: Immersive Visualization Laboratory	945
3663	Adult ADHD Self-Report Scale	943
3676	Yale-Brown Obsessive Compulsive Scale	943
2274	Nonhuman Primate HIV/SIV Vaccine Trials Database	942
3673	Social Phobia Inventory	942
4077	IDBS	942
5127	University of Kiel; Schleswig-Holstein; Germany	942
1887	Harvey Project: Open Course Collaboratories	941
3624	NIH Toolbox Oral Symbol Digit Test	940
12062	RASP	940
3905	Public Health England; London; United Kingdom	938
12879	Netherlands Bioinformatics Centre	935
11335	Laval University; Quebec; Canada	934
8762	Global Neuroscience Funding Resources	933
1522	JDRF	932
4981	UCSF AIDS Specimen Bank	932
1501	Diabetes Prevention Program	930
11059	Flow Contract Site Laboratory	927
12709	Washington Biotechnology Inc.	926
3805	NeuroStars	925
2693	Wolfram Alpha Computational Knowledge Engine	924
5626	Humboldt University of Berlin; Berlin; Germany	921
6358	MouseBook	920
1515	Clinical Islet Transplantation Study	919
9126	ARIEL	918
2826	American Physiological Society	917
7505	University of Chicago Department of Neuroscience	914
11622	University of California at Riverside; California; USA	914
866	NeuroVigil: Revolutionizing Brain Analysis	913
12405	ProGen - Protein and Gene Engineering	913
2824	Viper Resource Center	910
11488	Queen Mary University of London; London; United Kingdom	910
337	rtd	907
1381	Sumatra	907
3984	Shire	907
5523	Fulcrum	907
12957	National Institute for Health and Care Excellence	904
11233	Georgia Regents University; Georgia; USA	902
2706	ToRNADo	901
3250	RIKEN BioResource Center	900
5962	Edgerton Digital Collections	899
5699	TSRI-Yates Lab	896
6707	University of Puerto Rico; Puerto Rico; USA	895
11709	University of Tampere; Tampere; Finland	894
483	Gene Bridges	880
5888	ICT Centre	879
11207	EPA	879
11545	Stony Brook University; New York; USA	877
4561	Oscar3	874
4079	MEDINA Foundation	871
3747	California Integrated Data Exchange	870
2608	VR Worlds 2	869
897	Vanderbilt X-Ray Photoelectron Spectroscopy Lab	866
1473	NRF Contacts	864
3986	Mallinckrodt Pharmaceuticals	862
8528	GAVI	862
530	Neuroscience News: Neuroscience Videos	861
11771	Wageningen University and Research Centre; Gelderland; Netherlands	861
11240	Goethe University Frankfurt am Main; Hessen; Germany	859
6669	Yonsei University; Seoul; South Korea	853
7334	Current Population Survey	853
3911	Orion	852
11605	University Lille 1 - Sciences and Technologies; Lille; France	851
4811	Human Brain and Spinal Fluid Resource Center	850
10168	U.S. Geological Survey	849
6061	Atlantic Canada Conservation Data Centre	846
11438	National Institute on Aging	846
812	DIAN - Dominantly Inherited Alzheimer Network	841
12189	Frontier Scientific Services	841
7474	University of Texas Southwestern Medical Center Neuroscience	837
11281	Howard Hughes Medical Institute	836
8764	Massachusetts Alzheimer's Disease Research Center	830
6017	HFV Database	829
8032	Electroencephalogram Database: Prediction of Epileptic Seizures	829
11816	PiMS	829
3654	Seattle Longitudinal Study	827
10244	WorldClim	827
8399	ActiGraph Activity Monitor Devices	826
11767	Virginia Commonwealth University; Virginia; USA	823
1245	KMC	822
5639	Hunan Normal University; Changsha; China	819
11399	Montpellier 2 University; Montpellier; France	817
11391	Medical Products Agency; Uppsala; Sweden	815
6314	Johns Hopkins Point of Care Guides	814
3683	Beck Hopelessness Scale	812
344	Yunnan University; Yunnan; China	809
11595	United Kingdom Department of Health	809
11499	Roskilde University; Roskilde; Denmark	808
3700	Young Mania Rating Scale	804
11272	Harvard Stem Cell Institute	803
2288	CMEList.com	802
11531	Southwestern University; Texas; USA	802
1716	Duke University Medical Center: Duke Image Analysis Laboratory	799
5571	NIH Knockout Mouse Project (KOMP)	799
5508	Stroke Patient Recovery Research Database (SPReD)	798
9874	San Diego State University; California; USA	797
7408	Queens University Canadian Institutes of Health Research Group in Sensory-Motor Integration	794
1535	Immune Tolerance Network	792
4984	Fred Hutchinson Cancer Research Center	789
9157	CROSSFIND	789
12891	ChAMP	785
5447	Music and Neuroimaging Laboratory	783
6581	University of Florida DNA and Tissue Bank	782
6138	TED-Ed	781
8176	British National Formulary	780
5054	Canada Foundation for Innovation	779
3769	Astellas Pharma Inc.	778
8860	Edwards Lab	777
537	This Week In Science	775
614	HIV Databases	774
7650	EVEREST - EVolutionary Ensembles of REcurrent SegmenTs	773
3753	Global Health Innovative Technology Fund	771
11183	Danish National Research Foundation	765
2946	Pennington Biomedical Research Center	763
11113	Baylor Research Institute; Texas; USA	763
7383	Neurotree: Academic Family Tree	762
8773	Michigan Alzheimer's Disease Center	761
2955	Celgene	759
3253	LUMPY	759
3724	Observational Medical Outcomes Partnership	759
7963	TDR Targets Database	759
4346	Cellular Technology Ltd Cryopreserved PBMC	756
10234	Netherlands Trial Register	755
1839	Psychology Training - VA Fellowships and Internships	754
7445	Columbia University Medical Center; Department of Neuroscience	750
11081	ArcGIS for Desktop Basic	750
12873	Southern Illinois University; Illinois; USA	750
2621	ESTHER	744
4596	Cancer Center Tissue Bank - Fudan University	744
6386	ePRISM	744
11576	Texas Tech University System; Texas; USA	744
11603	University College London; London; United Kingdom	744
3743	Accelerating Medicines Partnership - Diabetes	739
11082	ImmunoSpot Software for Analyzing ELISPOT Assays	739
1399	Retinal Topography Maps Database	731
2	monarch-ontologies	730
3832	Breast Cancer Somatic Genetics Study	730
9279	MARGARITA	729
11273	Harvard University; Massachusetts; USA	729
11401	Moscow State University; Moscow; Russia	729
3731	Accelerating Medicines Partnership Autoimmune Diseases of Rheumatoid Arthritis and Lupus	724
6373	CUSP	724
11167	CSIRO	724
11785	Wenzhou Medical University; Zhejiang; China	724
3477	Meharry Medical College Pharmacology	722
11578	Thomas Jefferson University; Pennsylvania; USA	722
2569	UNC Infant 0-1-2 Atlases	721
984	National University of Singapore; Singapore; Singapore	719
11239	French National Cancer Institute	718
3179	EPILEPSIE database	717
11625	University of California at San Diego; California; USA	716
2016	OSA	715
3695	Eating Attitudes Test	714
11748	University of Warwick; Coventry; United Kingdom	714
2517	Parkinson's Disease Biomarkers Program	713
11349	Los Alamos National Laboratory	710
3692	Zung Self-Rating Depression Scale	709
8413	Aquatic Animal Health Code - 2008	705
11484	Pennsylvania State University; Pennsylvania; USA	705
12440	Irvine Scientific	701
11174	CSIR-Central Food Technological Research Institute; Karnataka; India	700
2070	Cell Signaling Pathways	699
6867	qrqc	699
2690	Synchronized Histological Image Viewing Architecture	697
5761	ALCHEMY	696
3858	European Lead Factory	694
554	Purves Lab See For Yourself	693
5080	NASA Science	692
245	Philipps-University Marburg; Marburg; Germany	689
12410	Independent Contractor - Computational and Mathematical Modeling	689
936	Medscape Education - Medscape CME/CE	687
786	Eppendorf	686
5175	COVA	686
11298	Innovation Norway	685
11644	University of Giessen; Hesse; Germany	685
13739	National Institute of Health Data Book	684
849	SIMM	682
12370	Bay Materials	682
4743	Accelerated Cure Project for Multiple Sclerosis	681
9019	Joslin Diabetes Center	680
11054	UC Davis Mouse Biology Program	679
277	Pusan National University; Busan; South Korea	678
4132	IMHRO: International Mental Health Research Organization	676
4196	DCTD	676
3322	Childhood Autism Spectrum Test	672
9299	MLR-TAGGING	671
1670	Association of American Medical Colleges	666
11602	University College Dublin; Dublin; Ireland	666
12946	Heinz Maier-Leibnitz Prizes	664
3985	Hospira	661
5112	Human Frontier Science Program	661
3786	Avid Radiopharmaceuticals	660
12064	FIGG	659
11464	NIH Clinical Center	658
8999	Northeastern Collaborative Access Team	655
7255	Collaborative Computational Project No. 4: Software for Macromolecular X-Ray Crystallography	654
12356	Purdue X-Ray Crystallography Facility	654
2089	Glomerular Activity Response Archive	653
12842	Pacific Northwest National Laboratory	651
536	Neurology and Neurosurgery	647
11111	Bar-Ilan University; Ramat Gan; Isreal	644
12592	CSUCI Alliance Protein Laboratories	642
6647	PROGENY	637
10874	DIME	637
3742	Accelerating Medicines Partnership - Alzheimers	636
11229	Fogarty International Center	636
209	PKD Foundation	632
534	SPHINX	632
1502	Diabetes Prevention Program Outcomes Study	632
549	American Tissue Services Foundation - ATSF	631
3703	Standardized Mini-Mental State Examination	629
4772	NBC	628
184	MIMOSA	627
9206	GEST	627
3790	Biogen Idec	625
11048	Spiral Genetics	622
89	Danish Multiple Sclerosis Biobank	620
731	Domain Interaction MAp	619
11124	Brown Alpert Medical School; Rhode Island; USA	616
11326	Japanese Ministry of Health Labor and Welfare	615
12302	HMS Research Imaging Solutions	614
11097	Arthritis research campaign	613
4825	University of Freiburg; Baden-Wurttemberg; Germany	612
12555	Custom Biologics	612
979	Montana State University; Montana; USA	611
2292	Deja Vu: a Database of Highly Similar and Duplicate Citations	611
10726	Cystic Fibrosis Foundation	610
3513	Colorado Assessment Tests - Visual Span	607
11520	Seattle Childrens Research Institute; Washington; USA	606
261	Trinity College Dublin; Dublin; Ireland	605
11070	Beaumont Hospital; Dublin; Ireland	605
11231	Fraunhofer-Gesellschaft	605
10411	Portfolio Management Application	604
4153	Multiple Sclerosis Society	601
4074	Noldus	598
6087	ISRCTN Registry	598
901	ZooBank	597
8600	DARIO	595
11361	Mario Negri Institute for Pharmacological Research; Milan; Italy	594
6902	Surveillance Epidemiology and End Results	588
11434	National Science Council - Taiwan	587
1467	Diabetes Prevention Type 1	586
4295	US Biomax	585
11247	French National Center for Scientific Research	581
7956	INVERTER	580
8905	SHEEP - Stockholm Heart Epidemiology Program	580
1436	YPED	579
12750	GLOBOCAN	578
4041	Cancer Research UK	577
2624	eScholarship	573
5256	Clippers	573
8531	GERON	572
13656	Center for Cell Analysis and Modeling	571
6041	SCALE - Scandinavian lymphoma etiology	569
1291	les	567
1564	The Biomedical Research Foundation - Current Research	564
4940	Florida Alzheimer's Disease Research Center	564
11575	Texas Tech University Health Sciences Center; Texas; USA	563
3979	ClinMet	562
11249	Friedrich Schiller University Jena; Thuringia; Germany	562
8485	EpiData Software	561
3598	Integrated Ocean Observing System	560
1440	BioCAT	558
3962	Centers for Medicare and Medicaid Services	558
7146	HIV and its Coreceptors	558
2979	EONS	557
8757	Johns Hopkins Alzheimer's Disease Research Center	557
2603	Triangle BioSystems	556
9739	Paul Sabatier University - Toulouse III; Toulouse; France	556
3604	Agency for Healthcare Research and Quality	554
6294	crowdLabs	554
11752	USDA Agricultural Research Service	554
7287	Olfactory Bulb Odor Map DataBase (OdorMapDB)	553
2423	NIH Toolbox - Assessment of Neurological and Behavioral Function	552
6189	Cohere	552
11542	Stockholm County Council	552
10015	Penn High-Throughput Sequencing Facility	551
11264	Harbin Medical University; Heilongjiang; China	549
11593	Umea University; Umea; Sweden	546
12706	NCSU Plant Transformation Laboratory	546
12010	BioSpace	544
8332	Mammal Networked Information System	543
1516	Nebula	536
11447	National Medicines Institute; Warsaw; Poland	534
12153	Mimics	534
8997	National Mouse Metabolic Phenotyping Centers	532
11336	Lawrence Berkeley National Laboratory	531
11150	Chang Gung University College of Medicine; Taoyuan; Taiwan	528
8565	Wheaton Industry Inc	527
4974	Fox Chase Cancer Center	525
3626	NIH Toolbox List Sorting Working Memory Test	524
11554	Swiss National Science Foundation	524
1542	SISTEr	520
4054	Boston University; Massachusetts; USA	520
13724	ProteinSimple: FluorChem™ E System	520
8753	Mayo Clinic Jacksonville: Neuropathology and Microscopy	518
12812	Inside NIA: A Blog for Researchers	518
9493	HD Neuro-Informatics	517
4950	MycoBank	514
4454	National Psoriasis Foundation	512
1867	South African National Bioinformatics Institute: Resources	511
1972	VideoLectures.NET	510
11571	Texas A and M University-Kingsville; Texas; USA	510
5415	University of Lisbon; Lisbon; Portugal	508
10811	Lille 2 University of Health and Law; Lille; France	508
8106	NEI (neuro-endocrine-immune) Network Database	507
10241	ICZN	507
11228	Florida State University; Florida; USA	507
3701	Narcissistic Personality Inventory	505
1507	Beijing: Eyes Open Eyes Closed Study	504
3810	BioResource Impact Factor	503
13147	Tripod	503
2698	FFT Library	502
8603	Medicines for Maleria Venture	500
9527	ALVIN	499
7908	RTCGD - Retroviral Tagged Cancer Gene Database	498
160	Colin 3T/7T High-resolution Atlas	497
3726	Project Data Sphere	497
10484	AbbVie	494
3838	BIOHYBRID	493
8050	MDVU - Movement Disorder Virtual University	491
11178	Curtin University; Western Australia; Australia	489
1695	PELICAN	487
3445	REDCap	487
8547	REGENERON	487
1919	United Kingdom National Health Service: National Genetics Education and Development Centre	486
4537	AIDS and HIV Research Lab Registry	485
150	Louisiana State University Health Sciences Center New Orleans; Louisiana; USA	484
11724	University of Texas Southwestern Medical Center; Texas; USA	484
11731	University of Tokyo; Tokyo; Japan	484
6572	Naturally Selected	483
12904	National Institute of Dental and Craniofacial Research	483
3715	Hungarian Neurological-Psychiatric Biobank	482
1530	HEALTHY study	480
2906	HIV Sequence Database	480
7086	HCV Immunology Database	480
9983	U.S. Department of Health and Human Services	480
2451	A modular structure for scientific articles in an electronic environment	478
4057	National Cancer Research Institute	477
6179	BioMedBridges	477
11350	Loughborough University; Loughborough; United Kingdom	477
783	FileMaker	476
1548	Karolinska Institutet; Stockholm; Sweden	476
7790	Health Research Funding	476
3142	BrainInfo	472
7845	PALI- Phylogeny and Alignment of homologous protein str	471
7543	Washington State University Pullman WA. Pharmacology and Toxicology	468
829	EDAC	466
11091	All India Institute of Medical Sciences; New Delhi; India	465
1420	James Cook University; Townsville; Australia	464
8014	Academic Psychiatry: Psychiatry Online	464
11385	Mayo Clinic Florida; Florida; USA	463
5007	Medical University of Vienna; Vienna; Austria	462
7535	University of Texas Medical Branch at Galveston Department of Pharmacology and Toxicology	461
8458	DNA Direct	460
8559	ARIAD	460
11271	Idaho State University; Idaho; USA	460
3631	NIH Toolbox 2-Minute Walk Endurance Test	459
11534	Spanish National Research Council; Madrid; Spain	458
10280	DaTo	456
10582	NeuroLOG	456
5865	DSpace	455
335	National Health Research Institutes; Taipei; Taiwan	454
11541	Stellenbosch University; Western Cape; South Africa	452
3509	MF-GE	450
1781	Aptamer Database - The Ellington Lab	449
2295	BioAfrica HIV Informatics in Africa	448
4985	The Nervous System in Action	448
2932	American FactFinder	447
169	Educational Resources in Neuroscience	446
3639	Autism-Spectrum Quotient	444
3919	Quartz Bio	444
3463	Solstice	441
5287	Oklahoma Medical Research Foundation	441
7294	NEIBank	441
11248	French National Research Agency	440
11177	CSIR - Indian Institute of Chemical Biology; Kolkata; India	438
11408	National Center for Research Resources	438
12418	AAA Service Laboratory	438
5862	SIMILE	437
11009	DDC Medical	437
2809	Computational Neurobiology Laboratory at the Salk Institute	436
2844	National Academies Press	436
5144	RLS Foundation	436
7228	REGARDS - REasons for Geographic and Racial Differences in Stroke	436
8322	University of Wollongong; New South Wales; Australia	436
4364	WiCell Research Institute	435
7331	Colorado Assessment Tests - Card Sort	435
4415	Stem Cell Commons	434
6574	UCL Institute of Neurology	433
3974	Baxter	432
5239	Now at NEJM	431
6684	Musculoskeletal Transplant Foundation - MTF	431
144	University of Texas Medical Branch at Galveston	430
3036	DGAP	430
8727	Mayo Alzheimer's Disease Research Center	428
11007	ARQ Genetics	428
13748	Biotechnology Culture Collection Institution Pusat Penelitian dan Pengembangan Bioteknologi-LIPI	428
11282	Helmholtz Center Munich	427
1930	University of California at San Diego, Computational Neuroscience	426
11412	National Genotyping Center; Ile-de-France; France	426
6838	BTRIS: NIH Biomedical Translational Research Information System	425
4108	Kyoto University; Kyoto; Japan	424
12124	Ministry of Health and Family Welfare - Government of India	424
6320	Australian Antarctic Data Centre	423
3351	Emory University, Molecular and Systems Pharmacology	422
6704	Berkeley Bioinformatics Open-Source Projects	422
8563	Research Randomizer	422
11517	Science Foundation Ireland	422
3516	Colorado Assessment Tests - Reaction Time	421
6277	NF Registry	421
9689	BWH-BRI Antibody Core Facility	421
5378	MRC Mammalian Genetics Unit	419
6296	Multi-Dimensional Human Embryo	419
13497	DINO	419
438	Molecular Imaging Probes	418
1086	Australian National University; Acton; Australia	418
2509	ORS Visual SI	417
3727	Predictive Safety Testing Consortium	417
905	DHS Program	416
4143	Liverpool Tissue Bank	415
2931	Charles University; Prague; Czech Republic	414
4536	NEI-AREDS Genetic Repository	414
1549	TOMUS	412
11087	Aix-Marseille University; Provence-Alpes-Cote d'Azur; France	412
965	Fudan University; Shanghai; China	410
13293	Diogenes	409
7481	SUNY Upstate Medical University, Pharmacology	408
8763	Rush Alzheimer's Disease Center	407
4360	National Autonomous University of Mexico; Mexico City; Mexico	405
7030	Parkinsons UK Brain Bank	405
12790	NIH Common Fund	405
12936	Flinders University; Adelaide; Australia	405
4021	DanStem	404
10263	VassarStats	404
4790	OSUCCC-James	403
5345	University of Cincinnati Neuroscience Institute	403
12187	Yale DNA Analysis Facility	402
3621	NIH Toolbox 9-Hole Pegboard Dexterity Test	400
988	Netherlands Organization for Scientific Research	399
3787	BASF Corporation	397
11121	Bordeaux Segalen University; Bordeaux; France	397
394	Micro-Analyzer	395
4061	European ScreeningPort	395
4119	Taros	395
1491	Human Immunology Project Consortium	394
11357	Loyola University Chicago Stritch School of Medicine; Illinois; USA	394
11297	Inha University; Incheon; South Korea	393
11768	Virginia Polytechnic Institute and State University; Virginia; USA	393
7197	neuroConstruct	392
8250	World Health Organization Statistical Information System	392
3300	Audiology - Arizona School of Health Sciences	391
5370	HIV Neurobehavioral Research Center	391
9196	GENESPRING GT	391
4422	Childrens Brain Tumor Foundation	390
10157	U.S. Department of Labor	390
10260	ProMed-Mail	389
10528	Fisher BioServices	389
11594	Uniformed Services University of the Health Sciences; Maryland; USA	389
11833	MT-Toolbox	389
7828	OGD - Oomycete Genomics Database	388
11217	Gifu University; Gifu; Japan	388
2914	Kendrick Labs - Proteomic Services Including 2D Gel Electrophoresis Western Blotting and Mass Spectrometry	387
11366	Max-Planck-Gesellschaft	387
13633	Neurology Image Library from The Internet Stroke Center	387
11509	RWTH Aachen University; Aachen; Germany	386
11583	Tsinghua University; Beijing; China	384
4014	Asia Training Consortium	381
11720	University of Texas at Tyler; Texas; USA	381
2825	Brigham Young University; Utah; USA	380
6161	ZMP	379
11587	U.S. Census Bureau	378
11664	University of Massachusetts Medical School; Massachusetts; USA	378
6424	ASN Kidney Tube	377
2575	University of Barcelona; Barcelona; Spain	376
12783	SUNY Downstate Medical Center School of Graduate Studies	375
962	ETH Zurich; Zurich; Switzerland	374
8256	University of Freiburg Bioinformatics Group: Servers and Web-Applications	374
11304	Jacobs University Bremen; Bremen; Germany	374
11220	Ewha Womans University; Seoul; South Korea	373
11256	Gachon University of Medicine and Science; Incheon; South Korea	373
6918	SIU CADRD Dementia Brain Autopsy Program	371
4011	EORTC Clinical Trials	370
11478	Osaka University; Osaka; Japan	369
12767	Data World Bank	369
77	timecourse	368
3901	Comprehensive Biomarker Center	367
11314	Institute of Microbial Technology; Chandigarh; India	367
12638	Veterinary Bioscience Institute	367
279	Queen's University Belfast; Ireland; United Kingdom	366
4732	Ontario Tumour Bank	366
6411	Socrates	366
6882	It Takes 30	366
11274	Health Canada	365
12868	University of North Texas Health Science Center Department of Pharmacology & Neuroscience	365
405	Opal Research	364
4192	Canadian Tumour Repository Network	364
6740	University of Quebec Hospital Centre; Quebec; Canada	364
12771	SWIPE	364
2412	MUMA	363
5772	Burroughs Wellcome Fund	363
4225	Cancer Research Network of the FRSQ	362
6640	Yong Loo Lin School of Medicine; Singapore; Singapore	362
13165	Traumatic Brain Injury Clinical Trials Network	362
3520	Colorado Assessment Tests - Symptom Validity	361
4059	Vasculitis Foundation	360
6660	Brain Innovation: Home of the BrainVoyager Product Family	360
7924	Stress Induced (DNA) Duplex Destabilization	360
11388	McGill University; Montreal; Canada	359
10447	WHO Adverse Reaction Terminology	358
3612	ABIDE	356
11322	Italian National Research Council	356
12758	IUCN	356
3714	Drug Development Tools Qualification Programs	355
11190	Drexel University; Pennsylvania; USA	355
3922	WU-Minn HCP 500 Subjects MR and MEG Release	354
11510	Saarland University; Saarbrucken; Germany	354
11149	Chang Gung University; Taoyuan; Taiwan	353
359	pvac	348
3570	Chungbuk National University; Cheongju; South Korea	347
773	UNAIDS	346
8449	Flow Cytometers Facility	346
12845	University of Edinburgh Royal (Dick) School of Veterinary Studies; Scotland; United Kingdom	346
12874	National Institutes of Neurological Disorders and Stroke: Research Funding	345
5188	ORMAN	344
3240	Laura and John Arnold Foundation	343
10476	ALADDIN	342
11369	Max Delbruck Center for Molecular Medicine; Berlin; Germany	342
11403	National Cancer Institute	342
903	Spike2 Software	341
5319	Aptamer Base	341
12974	Behavioral Risk Factor Surveillance System	341
8554	SAFC	340
9526	ADJUST	339
7218	Boston University; Neuroscience	338
11741	University of Vienna; Vienna; Austria	337
636	National Addiction and HIV Data Archive Program	336
130	Neuroscience Link List	335
3706	Academic Drug Discovery Consortium	335
3723	Myelin Repair Foundation	335
8400	AfCS	334
11120	Blaise Pascal University; Clermont-Ferrand; France	334
12959	NCCN	333
177	Buss-Perry Aggression Questionnaire	332
8433	LexisNexis	332
12785	Krona	331
3861	EU-AIMS	330
8306	Summer Fellowships - Comparative Medicine	329
6855	National Swine Resource and Research Center	328
7587	Cleansed EST Database	328
7741	Inter-Chain Beta-Sheets	328
7203	AGI	326
13005	Integrated Risk Information System	326
3775	Lhasa Limited	325
