RRID	Resource Name	total mention count
2309	ClinicalTrials.gov	9081
8505	World Health Organization	3519
11215	European Medicines Agency	2148
5522	Texas A and M Health Science Center MSC Distribution	1946
8673	Scion Image	1923
8592	World Medical Association	1856
4025	Big Ten Cancer Research Consortium	1811
11503	RTI International	1768
7210	American Heart Association	1750
11482	Paris-Sud University; Paris; France	1745
3792	Charles River Laboratories	1743
1326	Roche	1729
1620	ADInstruments - Data Acquisition Systems for Life Science	1720
4699	University of Texas MD Anderson Cancer Center	1666
4672	USIDNET: US Immunodeficiency Network	1645
10267	Centre for Reviews and Dissemination	1642
7400	Association for Research in Vision and Ophthalmology	1628
12420	German Research Foundation	1585
590	LORIS - Longitudinal Online Research and Imaging System	1567
10621	ORION	1566
4880	NCI-Frederick	1538
8158	AGRICOLA	1531
8738	UCL-RFH BioBank	1483
10692	Boston University Alzheimer's Disease Center	1475
2325	Current Controlled Trials	1461
6907	UCSD-Nature Signaling Gateway Molecule Pages	1444
11417	National Institutes of Health	1436
3837	Big Data Public Private Forum	1418
11497	National Health and Medical Research Council	1397
11525	Shanghai Jiao Tong University; Shanghai; China	1393
1650	EMBASE	1374
3632	NIH Toolbox 4-Meter Walk Gait Speed Test	1373
5549	HC2: Human-Computer Confluence	1371
2863	HCV Databases	1355
2967	Australian New Zealand Clinical Trials Registry	1345
11535	St. James Hospital; Dublin; Ireland	1325
11245	Frederick National Laboratory for Cancer Research	1324
7317	NIA Aged Rodent Colonies	1322
8070	CHARTER - CNS HIV Antiretroviral Therapy Effects Research	1312
959	Curie Institute; Paris; France	1308
531	Donate Life America	1297
4475	WHO International Clinical Trials Registry Platform	1290
12945	U.S. Food and Drug Administration	1276
1145	Magnetic Resonance Microscopy of Mouse Embryo Specimens	1274
11500	Robert Koch Institute; Berlin; Germany	1273
2191	BCO-DMO	1272
11770	VU University; Amsterdam; Netherlands	1272
11199	East Carolina University; Carolina; USA	1268
4180	NIH Topic Maps - A Topic Database of NIH Funded Grants	1261
3685	Edinburgh Postnatal Depression Scale	1252
3040	Dana-Farber Cancer Institute	1247
2852	SMART Video-tracking	1233
11151	Charite - Universitatsmedizin Berlin; Berlin; Germany	1222
1037	PNA Bio	1220
4039	Quintiles	1218
8578	SABiosciences	1212
3702	CAGE Questionnaire	1206
8507	Evidence Based Toxicology	1205
11266	Hannover Medical School; Lower Saxony; Germany	1200
3517	Colorado Assessment Tests: n-Back	1197
8832	MNT - Medical News Today	1195
13116	National Institute of Neurological Disorders and Stroke	1193
8447	Pfizer Animal Genetics	1191
12713	University of California at Davis; California; USA	1187
11358	Ludwig-Maximilians-University; Bavaria; Germany	1186
1131	IBL-America	1182
3842	European Lung Foundation	1177
12846	USAID	1177
1685	Brain Dynamics Centre	1171
11485	Pasteur Institute	1169
11592	Ulm University; Baden-Wurttemberg; Germany	1168
11209	Erasmus University Rotterdam; Rotterdam; Netherlands	1167
159	South African Medical Research Council	1164
1866	Stony Brook University Medical Center: Neuropathology Primer	1162
6310	Congress of Neurological Surgeons Online Image Database	1161
4201	BC Cancer Agency	1152
5956	EU Clinical Trials Register	1144
8853	Tissue Access for Patient Benefit	1144
2660	NBRC	1142
513	Boston University Alzheimer's Disease Center - Neuropathology	1138
4723	TRACK TBI Network	1132
10652	CRAC	1129
6280	Childrens Tumor Foundation	1126
2588	Monte Carlo Simulation Software: tMCimg	1114
11489	Radboud University Nijmegen; Nijmegen; Netherlands	1113
11619	University of California at Irvine; California; USA	1109
1496	BARI 2D	1107
5642	MRI Research Safety and Ethics	1106
11293	Imperial College London; London; United Kingdom	1104
12757	ICMJE	1103
7466	Ohio State University Neuroscience	1102
6037	ChiCTR - Chinese Clinical Trial Registry	1097
3671	Panic Disorder Severity Scale - Self-Report	1096
11549	SUNY Upstate Medical University; New York; USA	1093
12606	American Peptide Company	1093
1761	Brainstorm	1091
6346	Bill and Melinda Gates Foundation	1089
6948	Minnesota Center for Twin and Family Research	1089
7532	University of South Alabama Department of Pharmacology	1088
10661	Surgical Biologics - a MiMedx Group Company	1072
1451	Kawasaki Disease Dataset	1071
11550	Sun Yat-sen University; Guangdong; China	1070
722	University of California, Irvine, Department of Anatomy and Neurobiology	1068
8775	Alzheimer's Association International Research Grant Program	1067
2017	National Parkinson Foundation	1066
3396	ddCt	1065
12158	Openlab	1065
11332	Johannes Gutenberg University Mainz; Rhineland-Palatinate; Germany	1058
3677	Abbreviated Mental Test Score	1054
11214	George Washington University; Washington D.C.; USA	1053
2382	Clinical and Laboratory Standards Institute	1040
8916	Puerto Rican Elderly: Health Conditions	1040
4416	DigiMorph	1039
12449	Trevigen Cell Assays	1037
1907	The Scripps Research Institute	1035
11786	West Virginia University; West Virginia; USA	1035
3758	TI Pharma	1034
11109	Bradley University; Illinois; USA	1033
7175	Biopolymers Facility at Harvard Medical School	1031
8405	AmaZonia: Explore the Jungle of Microarrays Results	1028
11581	Translational Genomics Research Institute	1028
13140	German Socio-Economic Panel	1026
787	Epson	1025
5904	GBIF - Global Biodiversity Information Facility	1016
11588	U.S. Consumer Product Safety Commission	1014
8307	Visionary: A Dictionary for the Study of Vision	1012
13373	Alta-Cyclic	1012
11227	Florida Agricultural and Mechanical University; Florida; USA	1011
6374	University of Padua; Padua; Italy	1008
6471	Jobs(at)NIH	1007
11411	National Eye Institute	1007
1355	plgem	1004
1446	Healthy People	1004
7141	Bayesian Output Analysis Program	1003
